iter	Passed	Remaining
807	14356	74484
808	14372	74458
809	14390	74437
810	14407	74419
811	14422	74385
812	14438	74357
813	14454	74333
814	14469	74302
815	14487	74281
816	14503	74255
817	14516	74215
818	14531	74181
819	14551	74175
820	14566	74145
821	14582	74120
822	14599	74096
823	14614	74065
824	14637	74072
825	14660	74082
826	14676	74057
827	14693	74035
828	14716	74042
829	14736	74038
830	14758	74041
831	14773	74011
832	14787	73971
833	14802	73942
834	14816	73903
835	14831	73874
836	14844	73831
837	14860	73807
838	14876	73778
839	14954	74058
840	14968	74024
841	15001	74079
842	15017	74054
843	15032	74022
844	15048	73994
845	15067	73985
846	15085	73965
847	15099	73931
848	15115	73905
849	15132	73883
850	15147	73850
851	15164	73828
852	15182	73814
853	15199	73792
854	15214	73758
855	15228	73724
856	15243	73689
857	15260	73670
858	15276	73645
859	15295	73630
860	15314	73619
861	15334	73611
862	15353	73602
863	15371	73585
864	15387	73559
865	15403	73530
866	15423	73525
867	15451	73554
868	15479	73583
869	15496	73564
870	15512	73536
871	15529	73515
872	15605	73772
873	15634	73806
874	15662	73837
875	15682	73831
876	15711	73865
877	15727	73836
878	15750	73842
879	15768	73823
880	15785	73801
881	15801	73776
882	15823	73777
883	15843	73769
884	15857	73733
885	15874	73711
886	15889	73678
887	15909	73669
888	15922	73631
889	15939	73609
890	15954	73577
891	15972	73561
892	15985	73520
893	16007	73519
894	16024	73497
895	16043	73485
896	16059	73457
897	16079	73450
898	16095	73421
899	16109	73389
900	16125	73361
901	16140	73331
902	16156	73302
903	16171	73272
904	16185	73237
905	16216	73276
906	16250	73334
907	16270	73324
908	16285	73292
909	16303	73275
910	16321	73259
911	16340	73244
912	16355	73216
913	16370	73185
914	16388	73165
915	16403	73133
916	16417	73098
917	16433	73073
918	16447	73039
919	16462	73009
920	16477	72977
921	16491	72941
922	16511	72931
923	16528	72910
924	16543	72882
925	16561	72863
926	16576	72834
927	16600	72839
928	16624	72851
929	16639	72820
930	16654	72791
931	16673	72774
932	16690	72753
933	16706	72728
934	16721	72698
935	16739	72681
936	16765	72696
937	16779	72664
938	16796	72639
939	16815	72630
940	16831	72600
941	16846	72570
942	16862	72545
943	16947	72816
944	16979	72857
945	16996	72835
